Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02121,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2020.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2021.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2022.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SLS01G02121,2023.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Social security contributions,,,,
